severity,category,trail_id,trail_name,region,nearest_town,details
high,contact_email_region_mismatch,441,"Екопътека ""Кечи Кая"" - Рибница",Рудозем,Рибница,"contact email suggests Plovdiv, but record region is 'Рудозем'"
high,contact_email_region_mismatch,442,"Екопътека ""Бъзовец""",Русе,Бъзовец,"contact email suggests Plovdiv, but record region is 'Русе'"
high,contact_email_region_mismatch,444,"Ивановски скален манастир ""Свети Архангел Михаил""",Русенски лом,Иваново,"contact email suggests Plovdiv, but record region is 'Русенски лом'"
high,contact_email_region_mismatch,445,"Екопътека ""Лаго""",Самоков,Самоков,"contact email suggests Plovdiv, but record region is 'Самоков'"
high,contact_email_region_mismatch,446,"Екопътека ""Знамето"" – с. Младен",Севлиево,Севлиево,"contact email suggests Plovdiv, but record region is 'Севлиево'"
high,contact_email_region_mismatch,447,"Екопътека ""Бели Искър""",Село Бели Искър,Самоков,"contact email suggests Plovdiv, but record region is 'Село Бели Искър'"
high,contact_email_region_mismatch,448,"Водопад ""Мангъро""",Село Скрът,Скрът,"contact email suggests Plovdiv, but record region is 'Село Скрът'"
high,contact_email_region_mismatch,449,"Резерват ""Сребърна""",Силистра,Сребърна,"contact email suggests Plovdiv, but record region is 'Силистра'"
high,contact_email_region_mismatch,450,Местност Карандила – Сливен,Сините камъни,Сливен,"contact email suggests Plovdiv, but record region is 'Сините камъни'"
high,contact_email_region_mismatch,451,Местност Тютюнлюка – Сливен,Сините камъни,Сливен,"contact email suggests Plovdiv, but record region is 'Сините камъни'"
high,contact_email_region_mismatch,452,"""Синия вир"" – Сливен",Сливен,Сливен,"contact email suggests Plovdiv, but record region is 'Сливен'"
high,contact_email_region_mismatch,453,Хайдушка пътека гр.Сливен – Карандила – Кушбунар,Сливен,Сливен,"contact email suggests Plovdiv, but record region is 'Сливен'"
high,contact_email_region_mismatch,456,"Водопад ""Орфей"" и каньона на водопадите - Смолян",Смолян,Смолян,"contact email suggests Smolyan, but record region is 'Смолян'"
high,contact_email_region_mismatch,458,"Екопътека ""Каньона на водопадите"" - Смолян",Смолян,Смолян,"contact email suggests Smolyan, but record region is 'Смолян'"
high,contact_email_region_mismatch,459,"Екопътека ""Невястата""",Смолян,Смолян,"contact email suggests Smolyan, but record region is 'Смолян'"
high,contact_email_region_mismatch,460,"Екопътека ""Св Неделя""",Смолян,Златоград,"contact email suggests Smolyan, but record region is 'Смолян'"
high,contact_email_region_mismatch,461,"Екопътека ""Свети дух""",Смолян,Манастир,"contact email suggests Smolyan, but record region is 'Смолян'"
high,contact_email_region_mismatch,462,"Екопътека ""Сърница Ай""",Смолян,Сърница,"contact email suggests Smolyan, but record region is 'Смолян'"
high,contact_email_region_mismatch,463,"Екопътека ""Трите Смолянски езера""",Смолян,Смолян,"contact email suggests Smolyan, but record region is 'Смолян'"
high,contact_email_region_mismatch,464,"Екопътека ""Храстево""",Смолян,Девин,"contact email suggests Smolyan, but record region is 'Смолян'"
high,contact_email_region_mismatch,465,"Екопътека ""Царичина""",Смолян,Царичина,"contact email suggests Smolyan, but record region is 'Смолян'"
high,contact_email_region_mismatch,466,Загражденска екопътека,Смолян,Загражден,"contact email suggests Smolyan, but record region is 'Смолян'"
high,contact_email_region_mismatch,467,Римски мост – Любча,Смолян,Любча,"contact email suggests Smolyan, but record region is 'Смолян'"
high,contact_email_region_mismatch,468,Скален масив Невястата (Турлука),Смолян,Смолян,"contact email suggests Smolyan, but record region is 'Смолян'"
high,contact_email_region_mismatch,470,"Южнородопска или ""Дяволска"" екопътека",Смолян,Борино,"contact email suggests Smolyan, but record region is 'Смолян'"
high,contact_email_region_mismatch,473,Дяволския мост и водопада,Смолянска област,Борино,"contact email suggests Plovdiv, but record region is 'Смолянска област'"
high,contact_email_region_mismatch,474,"Екопътека ""12-та застава""",Смолянска област,Барутин,"contact email suggests Plovdiv, but record region is 'Смолянска област'"
high,contact_email_region_mismatch,475,"Екопътека ""Барутин - вр. Чуката - Касъка""",Смолянска област,Доспат,"contact email suggests Plovdiv, but record region is 'Смолянска област'"
high,contact_email_region_mismatch,476,"Екопътека ""Паметник Арабаконак до из3вора на река Бебреш""",Софийска,Арабаконак,"contact email suggests Plovdiv, but record region is 'Софийска'"
high,contact_email_region_mismatch,477,"Екопътека ""Параклис"" – с. Врабево",Софийска,Врабево,"contact email suggests Plovdiv, but record region is 'Софийска'"
high,contact_email_region_mismatch,478,"Екопътека ""Под Камико""",Софийска,Гара Бов,"contact email suggests Plovdiv, but record region is 'Софийска'"
high,contact_email_region_mismatch,479,"Екопътека ""Седмовратица""",Софийска,Карлуково,"contact email suggests Plovdiv, but record region is 'Софийска'"
high,contact_email_region_mismatch,480,"Екопътека ""Тракийски могили""",Софийска,Копривщица,"contact email suggests Plovdiv, but record region is 'Софийска'"
high,contact_email_region_mismatch,481,Екопътека Червени камък - с. Челопеч,Софийска,Челопеч,"contact email suggests Plovdiv, but record region is 'Софийска'"
high,contact_email_region_mismatch,482,"Екопътека с. Мърчаево - местност ""Церова поляна""",Софийска,Мърчаево,"contact email suggests Plovdiv, but record region is 'Софийска'"
high,contact_email_region_mismatch,483,Директни изкачвания на Черни връх,Софийска област,София,"contact email suggests Plovdiv, but record region is 'Софийска област'"
high,contact_email_region_mismatch,484,Екопътека Бележката,Софийска област,Етрополе,"contact email suggests Plovdiv, but record region is 'Софийска област'"
high,contact_email_region_mismatch,485,"Туристическа екопътека ""Тульово""",Софийска област,Тульово,"contact email suggests Plovdiv, but record region is 'Софийска област'"
high,contact_email_region_mismatch,496,"Екопътека ""Лозенската планина""",София,Долни Лозен,"contact email suggests Plovdiv, but record region is 'София'"
