priority_tier,importance_score,id,name,nearest_town,current_region,latitude,longitude,source_status,metadata_source_count,photo_present,attractions_count,duration,max_altitude_m,review_basis,next_action
P2,55,298,Петрова нива,,Пловдив,42.036667,27.505833,source,1,no,0,3-4 часа,,source; 1 metadata source(s); duration; rich_description,Fill length_km from source page or manual editorial review.
P2,55,299,Пещера Песнопой,,Пловдив,42.4552,24.8119,source,1,no,0,3-4 часа,,source; 1 metadata source(s); duration; rich_description,Fill length_km from source page or manual editorial review.
P2,55,300,Поглед към девет планини,,Пловдив,42.568333,22.825,source,1,no,0,3-4 часа,,source; 1 metadata source(s); duration; rich_description,Fill length_km from source page or manual editorial review.
P2,55,301,Пода,,Пловдив,42.443889,27.464722,source,1,no,0,3-4 часа,,source; 1 metadata source(s); duration; rich_description,Fill length_km from source page or manual editorial review.
P2,55,302,Поломие,,Пловдив,43.693611,25.986667,source,1,no,0,3-4 часа,,source; 1 metadata source(s); duration; rich_description,Fill length_km from source page or manual editorial review.
P2,55,303,Поляната,,Пловдив,42.137178,24.031869,source,1,no,0,3-4 часа,,source; 1 metadata source(s); duration; rich_description,Fill length_km from source page or manual editorial review.
P2,55,304,Поморие,,Пловдив,42.559,27.637,source,1,no,0,3-4 часа,,source; 1 metadata source(s); duration; rich_description,Fill length_km from source page or manual editorial review.
P2,55,305,Понтийски път,,Пловдив,43.4,28.5,source,1,no,0,3-4 часа,,source; 1 metadata source(s); duration; rich_description,Fill length_km from source page or manual editorial review.
P2,55,306,Попови ливади,,Пловдив,41.551667,23.636667,source,1,no,0,3-4 часа,,source; 1 metadata source(s); duration; rich_description,Fill length_km from source page or manual editorial review.
P2,55,307,Правешка екопътека,,Пловдив,42.898333,23.931667,source,1,no,0,3-4 часа,,source; 1 metadata source(s); duration; rich_description,Fill length_km from source page or manual editorial review.
P2,55,310,Резово,,Пловдив,41.986389,28.028611,source,1,no,0,3-4 часа,,source; 1 metadata source(s); duration; rich_description,Fill length_km from source page or manual editorial review.
P2,55,311,Рибарица,,Пловдив,42.828333,24.425,source,1,no,0,3-4 часа,,source; 1 metadata source(s); duration; rich_description,Fill length_km from source page or manual editorial review.
P2,55,312,Рибни езера,,Пловдив,42.162083,23.408472,source,1,no,0,3-4 часа,,source; 1 metadata source(s); duration; rich_description,Fill length_km from source page or manual editorial review.
P2,55,313,Рилски манастир,,Пловдив,42.133333,23.34,source,1,no,0,3-4 часа,,source; 1 metadata source(s); duration; rich_description,Fill length_km from source page or manual editorial review.
